Experiment Name:,Exp_20200812_Virus

Tube Name:,Record Time:,Volume(μL):,Virus (x 10^6 particles/mL) = :,Comment:,All Events ,Time Events,singlets Events,VLP Events,VLP1 Events,VLP2 Events,V1 Events,V2 Events,noise Events,All Events  Events/μL(V),Time Events/μL(V),singlets Events/μL(V),VLP Events/μL(V),VLP1 Events/μL(V),VLP2 Events/μL(V),V1 Events/μL(V),V2 Events/μL(V),noise Events/μL(V),All Events  % Parent,Time % Parent,singlets % Parent,VLP % Parent,VLP1 % Parent,VLP2 % Parent,V1 % Parent,V2 % Parent,noise % Parent,All Events  % Total,Time % Total,singlets % Total,VLP % Total,VLP1 % Total,VLP2 % Total,V1 % Total,V2 % Total,noise % Total,All Events  Mean BL525-A,Time Mean BL525-A,singlets Mean BL525-A,VLP Mean BL525-A,VLP1 Mean BL525-A,VLP2 Mean BL525-A,V1 Mean BL525-A,V2 Mean BL525-A,noise Mean BL525-A,All Events  Mean VSSC-A,Time Mean VSSC-A,singlets Mean VSSC-A,VLP Mean VSSC-A,VLP1 Mean VSSC-A,VLP2 Mean VSSC-A,V1 Mean VSSC-A,V2 Mean VSSC-A,noise Mean VSSC-A,All Events  Mean SSC-A,Time Mean SSC-A,singlets Mean SSC-A,VLP Mean SSC-A,VLP1 Mean SSC-A,VLP2 Mean SSC-A,V1 Mean SSC-A,V2 Mean SSC-A,noise Mean SSC-A,All Events  Mean FSC-A,Time Mean FSC-A,singlets Mean FSC-A,VLP Mean FSC-A,VLP1 Mean FSC-A,VLP2 Mean FSC-A,V1 Mean FSC-A,V2 Mean FSC-A,noise Mean FSC-A
Stain Virus 6-1,2020-08-12 15:35:14,60.0,2.10,Stain samples are 10X diluted with TE buffer (pH8.0),326901,72660,57343,12628,6649,1521,10031,1522,4162,5448.36,1245.60,955.72,210.47,110.82,25.35,167.18,25.37,69.37,100.00%,22.23%,78.92%,22.02%,52.65%,12.04%,79.43%,12.05%,32.96%,100.00%,22.23%,17.54%,3.86%,2.03%,0.47%,3.07%,0.47%,1.27%,4642.3,13513.5,14348.7,9471.7,8547.9,31741.9,6879.8,31737.9,3111.8,13964.0,47187.5,40827.0,1399.1,1271.3,1589.0,1343.4,1589.7,1539.4,763.4,2651.1,2065.4,33.3,27.6,25.3,34.1,24.5,48.1,386.5,1347.4,922.8,2650.8,2702.9,3145.7,2615.5,3145.9,2409.9
Stain TE 1-2,2020-08-12 15:40:18,60.0,0.04,Stain samples are 10X diluted with TE buffer (pH8.0),10770,10445,9416,219,203,13,205,13,0,179.57,179.06,157.00,3.65,3.38,0.22,3.42,0.22,0.00,100.00%,96.98%,90.15%,2.33%,92.69%,5.94%,93.61%,5.94%,0.00%,100.00%,96.98%,87.43%,2.03%,1.88%,0.12%,1.90%,0.12%,0.00%,97549.7,65092.1,45307.9,10133.2,7477.4,26120.0,7475.1,26120.0,####,488932.4,449007.4,221410.4,1543.7,1565.4,1346.7,1560.8,1346.7,####,22385.8,19485.4,10920.7,61.0,72.7,13.0,64.6,13.0,####,18387.4,13816.3,8918.6,2420.3,2348.3,3476.5,2339.3,3476.5,####
Stain ddH2O 1-2,2020-08-12 15:42:10,60.0,0.03,Stain samples are 10X diluted with TE buffer (pH8.0),8088,7792,7058,174,158,12,160,12,0,134.80,133.58,117.63,2.90,2.63,0.20,2.67,0.20,0.00,100.00%,96.34%,90.58%,2.47%,90.80%,6.90%,91.95%,6.90%,0.00%,100.00%,96.34%,87.27%,2.15%,1.95%,0.15%,1.98%,0.15%,0.00%,91394.8,55816.7,46541.3,17227.1,8215.8,28557.1,8260.8,28557.1,####,537643.7,487511.2,237655.1,1362.3,1368.1,1398.3,1353.7,1398.3,####,24659.1,21582.5,12152.5,48.8,61.9,-72.1,57.0,-72.1,####,20560.6,15487.2,10149.5,2550.7,2538.0,3217.1,2513.9,3217.1,####
Stain 30KD filtrate 1-2,2020-08-12 15:44:09,60.0,1.05,Stain samples are 10X diluted with TE buffer (pH8.0),130407,126101,88434,6313,5965,246,6039,243,1,2173.45,2161.73,1473.90,105.22,99.42,4.10,100.65,4.05,0.02,100.00%,96.70%,70.13%,7.14%,94.49%,3.90%,95.66%,3.85%,0.02%,100.00%,96.70%,67.81%,4.84%,4.57%,0.19%,4.63%,0.19%,0.00%,21904.0,17110.1,20177.7,9935.3,7909.0,36402.5,7937.2,34708.5,2314.5,130884.6,127607.5,168775.4,1101.4,1075.0,1531.1,1077.5,1524.6,566.8,5079.9,4868.0,6348.8,-1.7,-8.6,14.9,-3.0,20.4,86.8,2503.2,2239.5,2427.5,3227.4,3128.1,5440.2,3127.7,5367.4,2447.4
Stain Virus 1-2,2020-08-12 15:46:05,60.0,0.75,Stain samples are 10X diluted with TE buffer (pH8.0),34437,33499,26215,4486,3602,858,3627,858,0,573.98,574.27,436.94,74.77,60.04,14.30,60.45,14.30,0.00,100.00%,97.28%,78.26%,17.11%,80.29%,19.13%,80.85%,19.13%,0.00%,100.00%,97.28%,76.12%,13.03%,10.46%,2.49%,10.53%,2.49%,0.00%,45333.2,25299.9,25892.8,13132.8,8851.3,29863.1,8879.1,29863.1,####,179172.3,133270.5,99628.8,1067.9,1007.8,1324.9,1007.0,1324.9,####,11605.5,9004.5,5009.6,21.7,24.8,16.2,22.8,16.2,####,6971.0,4760.9,2442.2,2441.5,2358.1,2784.4,2361.1,2784.4,####
Stain Virus 2-2,2020-08-12 15:47:48,60.0,0.93,Stain samples are 10X diluted with TE buffer (pH8.0),35970,34964,27593,5558,4304,1230,4324,1232,2,599.52,599.38,459.90,92.64,71.74,20.50,72.07,20.53,0.03,100.00%,97.20%,78.92%,20.14%,77.44%,22.13%,77.80%,22.17%,0.04%,100.00%,97.20%,76.71%,15.45%,11.97%,3.42%,12.02%,3.43%,0.01%,31400.0,22970.5,22352.1,13491.4,8815.8,29863.2,8836.6,29846.3,2430.3,176142.3,152610.4,98099.5,1139.6,1071.9,1376.7,1071.3,1377.8,1931.3,12057.4,8096.0,4938.6,20.6,19.8,31.1,18.4,28.6,-157.3,6820.3,4726.4,2735.0,2491.2,2374.3,2891.2,2377.2,2894.4,556.3
Stain Virus 3-2,2020-08-12 15:49:36,60.0,1.22,Stain samples are 10X diluted with TE buffer (pH8.0),45133,44005,35453,7315,5860,1419,5892,1420,2,752.23,754.37,590.89,121.92,97.67,23.65,98.20,23.67,0.03,100.00%,97.50%,80.57%,20.63%,80.11%,19.40%,80.55%,19.41%,0.03%,100.00%,97.50%,78.55%,16.21%,12.98%,3.14%,13.05%,3.15%,0.00%,30720.8,23083.3,22614.8,12947.2,8774.0,30140.6,8807.7,30145.4,2447.6,125060.3,111164.0,85383.1,1226.3,1157.0,1512.9,1157.0,1512.3,1708.8,6886.3,5963.1,4169.7,21.7,20.6,32.9,19.3,31.3,255.1,4055.7,3068.6,2101.1,2445.1,2342.7,2856.5,2345.7,2858.0,2550.1
Stain Virus 4-2,2020-08-12 15:51:27,60.0,0.97,Stain samples are 10X diluted with TE buffer (pH8.0),34179,33104,31132,5840,5096,701,5133,701,3,569.69,567.50,518.90,97.34,84.94,11.68,85.56,11.68,0.05,100.00%,96.85%,94.04%,18.76%,87.26%,12.00%,87.89%,12.00%,0.05%,100.00%,96.85%,91.09%,17.09%,14.91%,2.05%,15.02%,2.05%,0.01%,24364.5,18539.9,17079.7,9589.1,7363.1,25238.7,7422.2,25238.7,2303.9,130735.4,116698.4,71587.9,1561.1,1476.1,2150.4,1481.0,2150.4,916.7,6487.2,5746.9,3694.7,34.7,33.7,50.9,32.4,50.9,23.4,3819.0,3192.9,1885.5,2268.9,2219.6,2605.1,2223.9,2605.1,1784.9
Stain Virus 5-2,2020-08-12 15:54:56,60.0,1.10,Stain samples are 10X diluted with TE buffer (pH8.0),40156,38976,35205,6600,5380,1180,5409,1180,8,669.27,668.16,586.75,110.00,89.67,19.67,90.15,19.67,0.13,100.00%,97.06%,90.32%,18.75%,81.52%,17.88%,81.95%,17.88%,0.12%,100.00%,97.06%,87.67%,16.44%,13.40%,2.94%,13.47%,2.94%,0.02%,23637.7,19297.1,19177.8,11658.5,7929.6,28443.1,7969.6,28443.1,2138.3,105603.1,90928.5,63313.5,1479.7,1396.7,1853.2,1398.2,1853.2,1762.7,11502.1,6701.6,3334.8,31.1,29.5,45.5,27.9,45.5,85.2,6160.7,3271.3,1647.9,2397.2,2290.7,2892.4,2290.0,2892.4,1499.0
Stain Virus 6-2,2020-08-12 15:56:41,60.0,1.60,Stain samples are 10X diluted with TE buffer (pH8.0),53413,51797,41855,9602,7635,1902,7693,1904,4,890.25,887.95,697.61,160.04,127.25,31.70,128.22,31.73,0.07,100.00%,96.97%,80.81%,22.94%,79.51%,19.81%,80.12%,19.83%,0.04%,100.00%,96.97%,78.36%,17.98%,14.29%,3.56%,14.40%,3.56%,0.01%,28544.3,20671.5,21575.8,13266.8,8636.0,31512.1,8678.7,31521.7,2403.1,95393.2,77329.0,60954.5,1279.2,1202.7,1583.2,1204.1,1582.5,1467.1,5185.8,3763.8,3011.6,21.7,21.1,34.8,19.1,32.2,145.7,2966.0,1885.7,1382.0,2411.3,2301.6,2849.7,2303.2,2849.1,2173.8
Unstain TE 1-2,2020-08-12 16:00:12,60.0,0.05,Stain samples are 10X diluted with TE buffer (pH8.0),6575,6348,3726,326,296,25,298,23,0,109.63,108.82,62.12,5.44,4.94,0.42,4.97,0.38,0.00,100.00%,96.55%,58.70%,8.75%,90.80%,7.67%,91.41%,7.06%,0.00%,100.00%,96.55%,56.67%,4.96%,4.50%,0.38%,4.53%,0.35%,0.00%,41399.4,27781.9,21256.7,13937.9,8050.9,36953.1,8078.7,30948.8,####,1407816.1,1355669.1,341521.8,842.2,832.8,905.6,828.7,930.9,####,66877.2,54840.6,12765.9,40.1,28.0,180.9,27.8,164.5,####,36940.9,30255.4,9107.5,2697.2,2648.3,3098.7,2651.7,3166.4,####
